,Integration interval/altitude,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0
,(UT/kft),10,20,25,30,35,40,50
0,GCRs,0.24,2.5,4.0,5.7,8.0,10.0,14.4
1,01:50–01:55,0.36,5.1,9.2,14.0,20.0,27.1,39.4
2,01:55–02:00,0.46,11.0,17.5,22.0,29.9,41.0,59.4
3,02:10–02:15,0.34,4.8,8.5,12.8,20.2,27.0,38.8
4,02:25–02:30,0.29,4.3,7.4,11.0,15.7,20.0,27.9
5,02:40–02:45,0.27,3.4,6.2,10.0,13.3,17.1,23.2
6,02:55–03:00,0.27,3.1,6.0,9.5,12.7,16.0,22.0
7,03:10–03:15,0.26,2.8,5.3,8.8,12.0,15.3,20.6
8,03:25–03:30,0.26,2.5,5.0,8.3,11.6,14.5,20.0
9,03:40–03:45,0.25,2.0,4.7,7.9,11.1,14.0,19.5
